a.1.1.1;Truncated hemoglobin
b.42.6.1;MIR domain
b.42.2.1;Ricin B-like
b.42.2.2;Cysteine rich domain
b.42.2.3;GlcNAc-alpha-1,4-Gal-releasing endo-beta-galactosidase, GngC, C-terminal domain
b.42.3.1;Agglutinin
b.42.4.1;Kunitz (STI) inhibitors
b.42.4.2;Clostridium neurotoxins, C-terminal domain
b.42.5.1;Fascin
b.42.5.2;Histidine-rich actin-binding protein (hisactophilin)
b.42.7.1;DNA-binding protein LAG-1 (CSL)
b.42.8.1;AbfB domain
b.43.4.3;Riboflavin synthase
b.43.4.2;Ferredoxin reductase FAD-binding domain-like
b.43.4.1;NADPH-cytochrome p450 reductase FAD-binding domain-like
b.43.5.1;ATP-dependent riboflavin kinase-like
b.43.5.2;CTP-dependent riboflavin kinase-like
b.43.2.1;L-fucose isomerase, C-terminal domain
b.43.2.2;AraA C-terminal domain-like
b.43.3.1;Elongation factors
b.43.3.2;Ribosomal protein L3
b.43.3.3;Ribosomal protein L35ae
b.43.3.4;RimM N-terminal domain-like
b.43.3.5;Gar1-like SnoRNP
b.43.3.6;AlaX-M N-terminal domain-like
b.44.1.1;EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
b.44.2.1;Aminomethyltransferase beta-barrel domain
b.45.1.1;PNP-oxidase like
b.45.1.2;NADH:FMN oxidoreductase-like
b.45.1.3;UbiD middle domain-like
b.45.1.4;MTH863-like
b.45.2.1;PilZ domain
b.45.2.2;PilZ domain-associated domain
b.45.3.1;YkvR-like
b.106.1.1;Baseplate protein-like
b.106.1.2;gpFII-like
b.106.1.3;XkdM-like
b.139.1.1;Surface presentation of antigens (SPOA)
b.46.1.1;Post formyltransferase domain
b.46.1.2;3-methyladenine DNA glycosylase (AAG, ANPG, MPG)
b.47.1.1;Prokaryotic proteases
b.47.1.2;Eukaryotic proteases
b.47.1.3;Viral proteases
b.47.1.4;Viral cysteine protease of trypsin fold
b.140.1.1;Replicase NSP9
b.48.1.1;mu transposase, C-terminal domain
b.49.1.1;N-terminal domain of alpha and beta subunits of F1 ATP synthase
b.49.2.2;Alanine racemase
b.49.2.3;Eukaryotic ODC-like
b.49.3.1;Aminopeptidase/glucanase lid domain
b.111.1.1;Small protein B (SmpB)
b.50.1.1;Retroviral protease (retropepsin)
b.50.1.2;Pepsin-like
b.50.1.3;LPG0085-like
b.51.1.1;ValRS/IleRS/LeuRS editing domain
b.107.1.1;Urease metallochaperone UreE, N-terminal domain
b.52.1.1;Eng V-like
b.52.1.3;Pollen allergen PHL P 1 N-terminal domain
b.52.1.2;Barwin
b.52.1.4;MLTA-like
b.52.2.1;Pyruvoyl dependent aspartate decarboxylase, ADC
b.52.2.2;Formate dehydrogenase/DMSO reductase, C-terminal domain
b.52.2.3;Cdc48 N-terminal domain-like
b.53.1.1;Ribosomal protein L25-like
b.53.1.2;Gln-tRNA synthetase (GlnRS), C-terminal (anticodon-binding) domain
b.54.1.1;Core binding factor beta, CBF
b.173.1.1;NifT/FixU
b.55.1.1;Pleckstrin-homology domain (PH domain)
b.55.1.2;Phosphotyrosine-binding domain (PTB)
b.55.1.3;Ran-binding domain
b.55.1.4;Enabled/VASP homology 1 domain (EVH1 domain)
b.55.1.7;Dcp1
b.55.1.5;Third domain of FERM
b.55.1.6;PreBEACH PH-like domain
b.55.1.8;GRAM domain
b.55.1.9;TFIIH domain
b.55.1.10;SSRP1-like
b.55.1.11;Necap1 N-terminal domain-like
b.55.1.12;VPS36 N-terminal domain-like
b.55.1.13;BPHL domain
b.55.2.1;PA2021-like
b.56.1.1;Transcription factor IIA (TFIIA), beta-barrel domain
b.157.1.1;Hcp1-like
b.174.1.1;YopT-like
b.57.1.1;Herpes virus serine proteinase, assemblin
b.58.1.1;Pyruvate kinase beta-barrel domain
b.58.1.2;MOSC (MOCO sulphurase C-terminal) domain
b.59.1.1;XRCC4, N-terminal domain
b.124.1.1;HesB-like domain
b.141.1.1;Bacterial fluorinating enzyme, C-terminal domain
b.131.1.3;SPOC domain
b.131.1.1;Ku70 subunit middle domain
b.131.1.2;Ku80 subunit middle domain
b.158.1.1;BH3618-like
b.118.1.1;FAS1 domain
b.60.1.1;Retinol binding protein-like
b.60.1.2;Fatty acid binding protein-like
b.60.1.3;Thrombin inhibitor
b.60.1.4;Hypothetical protein YodA
b.60.1.5;Hypothetical protein YwiB
b.60.1.6;Phenolic acid decarboxylase (PAD)
b.60.1.7;Dinoflagellate luciferase repeat
b.60.1.8;Rv2717c-like
b.60.1.9;All1756-like
b.61.1.1;Avidin/streptavidin
b.61.2.1;Metalloprotease inhibitor
b.61.2.2;Staphostatin
b.61.3.1;D-aminopeptidase, middle and C-terminal domains
b.61.4.1;Quinohemoprotein amine dehydrogenase A chain, domain 3
b.61.5.1;Dipeptidyl peptidase I (cathepsin C), exclusion domain
b.61.6.1;YceI-like
b.61.7.1;Extracellular hemoglobin linker subunit, receptor domain
b.61.8.1;YdhA-like
b.175.1.1;FomD-like
b.159.1.1;Allene oxide cyclase-like
b.159.2.1;SO1590-like
b.176.1.1;AttH-like
b.62.1.1;Cyclophilin (peptidylprolyl isomerase)
b.62.1.2;Outer surface protein, C-terminal domain
b.62.1.3;TM1367-like
b.62.1.4;PH0987 C-terminal domain-like
b.63.1.1;Oncogene products
b.160.1.1;L,D-transpeptidase catalytic domain-like
b.100.1.1;Sortase
b.161.1.1;PTSIIA/GutA-like
b.64.1.1;Mannose 6-phosphate receptor domain
b.65.1.1;Rap30/74 interaction domains
b.66.1.1;Hemopexin-like domain
b.67.1.1;Tachylectin-2
b.67.2.1;alpha-L-arabinanase-like
b.67.2.2;Levansucrase
b.67.2.3;Glycosyl hydrolases family 32 N-terminal domain
b.67.2.4;TM1225-like predicted glycosylases
b.67.2.5;LmjF10.1260-like
b.67.3.1;Apyrase
b.68.1.1;Sialidases (neuraminidases)
b.68.1.2;Endo-alpha-sialidase
b.68.2.1;Soluble quinoprotein glucose dehydrogenase
b.68.3.1;Thermostable phytase (3-phytase)
b.68.4.1;TolB, C-terminal domain
b.68.5.1;YWTD domain
b.68.6.1;SGL-like
b.68.6.2;Serum paraoxonase/arylesterase 1, PON1
b.68.6.3;All0351-like
b.68.7.1;Tricorn protease N-terminal domain
b.68.8.1;Fucose-specific lectin
b.68.9.1;NHL repeat
b.68.10.1;GyrA/ParC C-terminal domain-like
b.68.11.1;Kelch motif
b.69.1.1;Galactose oxidase, central domain
b.69.2.3;YVTN repeat
b.69.2.2;Quinohemoprotein amine dehydrogenase B chain
b.69.2.1;Methylamine dehydrogenase, H-chain
b.69.3.1;Nitrous oxide reductase, N-terminal domain
b.69.4.1;WD40-repeat
b.69.4.2;Cell cycle arrest protein BUB3
b.69.5.1;Regulator of chromosome condensation RCC1
b.69.5.2;beta-lactamase inhibitor protein-II, BLIP-II
b.69.6.1;Clathrin heavy-chain terminal domain
b.69.8.1;Integrin alpha N-terminal domain
b.69.7.1;Prolyl oligopeptidase, N-terminal domain
b.69.7.2;Acylamino-acid-releasing enzyme, N-terminal donain
b.69.9.1;Tricorn protease domain 2
b.69.10.1;3-carboxy-cis,cis-mucoante lactonizing enzyme
b.69.11.1;Putative isomerase YbhE
b.69.12.1;Sema domain
b.69.13.1;Oligoxyloglucan reducing end-specific cellobiohydrolase
b.69.14.1;Nucleoporin domain
b.70.1.1;Quinoprotein alcohol dehydrogenase-like
b.70.2.1;C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase
b.70.3.1;DPP6 N-terminal domain-like
b.71.1.1;alpha-Amylases, C-terminal beta-sheet domain
b.71.1.2;Composite domain of glycosyl hydrolase families 5, 30, 39 and 51
b.71.1.3;Putative alpha-L-fucosidase C-terminal domain
b.71.1.4;Putative glucosidase YicI, domain 3
b.71.1.5;Beta-galactosidase LacA, domain 2
b.72.1.1;WW domain
b.72.2.1;Carbohydrate binding domain
b.72.3.1;Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain
b.73.1.1;Head domain of nucleotide exchange factor GrpE
b.148.1.1;Coronavirus RNA-binding domain
b.101.1.1;Ribonuclease domain of colicin E3
b.143.1.1;NAC domain
b.162.1.1;At5g01610-like
b.74.1.1;Carbonic anhydrase
b.125.1.1;Outer-membrane lipoproteins carrier protein LolA
b.125.1.2;Outer membrane lipoprotein receptor LolB
b.125.1.3;LppX-like
b.177.1.1;YmcC-like
b.178.1.1;PA1994-like
b.75.1.1;Bacteriochlorophyll A protein
b.76.1.1;Outer surface protein
b.76.2.1;Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
b.77.1.1;Vitelline membrane outer protein-I (VMO-I)
b.77.2.1;delta-Endotoxin (insectocide), middle domain
b.77.3.1;Mannose-binding lectins
b.78.1.1;alpha-D-mannose-specific plant lectins
b.80.7.1;Serralysin-like metalloprotease, C-terminal domain
b.80.1.1;Pectate lyase-like
b.80.1.2;Pectin lyase
b.80.1.3;Galacturonase
b.80.1.4;Chondroitinase B
b.80.1.8;iota-carrageenase
b.80.1.9;Pectate transeliminase
b.80.1.10;Dextranase, catalytic domain
b.80.1.5;Pectin methylesterase
b.80.1.6;P22 tailspike protein
b.80.1.7;Virulence factor P.69 pertactin
b.80.1.11;Filamentous hemagglutinin FhaB, secretion domain
b.80.2.1;Insect cysteine-rich antifreeze protein
b.80.3.1;Cell-division inhibitor MinC, C-terminal domain
b.80.4.1;Alpha subunit of glutamate synthase, C-terminal domain
b.80.5.1;C-terminal domain of adenylylcyclase associated protein
b.80.6.1;Stabilizer of iron transporter SufD
b.80.8.1;Pentapeptide repeats
b.81.1.1;UDP N-acetylglucosamine acyltransferase
b.81.1.2;Tetrahydrodipicolinate-N-succinlytransferase, THDP-succinlytransferase, DapD
b.81.1.3;Galactoside acetyltransferase-like
b.81.1.4;GlmU C-terminal domain-like
b.81.1.5;gamma-carbonic anhydrase-like
b.81.1.6;Serine acetyltransferase
b.81.1.7;YdcK-like
b.81.1.8;PglD-like
b.81.2.1;An insect antifreeze protein
b.81.3.1;Adhesin YadA, collagen-binding domain
b.81.4.1;Guanosine diphospho-D-mannose pyrophosphorylase/mannose-6-phosphate isomerase linker domain
b.82.1.1;dTDP-sugar isomerase
b.82.1.7;Glucose-6-phosphate isomerase, GPI
b.82.1.8;Hypothetical protein TM1112
b.82.1.9;TM1287-like
b.82.1.10;TM1459-like
b.82.1.2;Germin/Seed storage 7S protein
b.82.1.11;YlbA-like
b.82.1.12;Pirin-like
b.82.1.5;Quercetin 2,3-dioxygenase-like
b.82.1.3;Type I phosphomannose isomerase
b.82.1.4;Homogentisate dioxygenase
b.82.1.6;Acireductone dioxygenase
b.82.1.13;KduI-like
b.82.1.14;Ureidoglycolate hydrolase AllA
b.82.1.15;Probable transcriptional regulator VC1968, C-terminal domain
b.82.1.16;YML079-like
b.82.1.17;PA5104-like
b.82.1.18;MJ0764-like
b.82.1.19;Cysteine dioxygenase type I
b.82.1.20;3-hydroxyanthranilic acid dioxygenase-like
b.82.1.21;Acetylacetone-cleaving enzyme-like
b.82.1.22;VPA0057-like
b.82.1.23;Gentisate 1,2-dioxygenase-like
b.82.1.24;EutQ-like
b.82.2.1;Penicillin synthase-like
b.82.2.2;Clavaminate synthase
b.82.2.3;Gab protein (hypothetical protein YgaT)
b.82.2.7;YhcH-like
b.82.2.4;Type II Proline 3-hydroxylase (proline oxidase)
b.82.2.5;TauD/TfdA-like
b.82.2.8;gamma-Butyrobetaine hydroxylase
b.82.2.6;Hypoxia-inducible factor HIF ihhibitor (FIH1)
b.82.2.9;PhyH-like
b.82.2.10;AlkB-like
b.82.2.11;Asparaginyl hydroxylase-like
b.82.2.12;YbiU-like
b.82.2.13;TehB-like
b.82.3.1;CO-sensing protein CooA, N-terminal domain
b.82.3.3;Listeriolysin regulatory protein PrfA, N-terminal domain
b.82.3.2;cAMP-binding domain
b.82.4.1;Regulatory protein AraC
b.82.6.1;Thiamin pyrophosphokinase, substrate-binding domain
b.82.7.1;Calcium ATPase, transduction domain A
b.82.5.1;Trp RNA-binding attenuation protein (TRAP)
b.82.5.2;PA3696/SPS0176-like
b.108.1.1;Middle part of short tail fibre protein gp12
b.108.1.2;Tail-associated lysozyme gp5, C-terminal domain
b.108.1.3;Endo-alpha-sialidase
b.108.1.4;Lactophage receptor-binding protein domain
b.108.1.5;HylP-like
b.83.1.1;Adenovirus
b.83.1.2;Reovirus attachment protein sigma 1
b.144.1.1;Trimeric adhesin
b.109.1.1;Cell wall binding repeat
b.84.1.1;Biotinyl/lipoyl-carrier proteins and domains
b.84.2.1;BC C-terminal domain-like
b.84.2.2;Cytochrome f, small domain
b.84.3.1;Glucose permease-like
b.84.3.2;Peptidoglycan hydrolase LytM
b.84.4.1;Ribosomal L27 protein
b.84.4.2;ECR1 N-terminal domain-like
b.85.1.1;AFP III-like domain
b.85.7.1;Histone lysine methyltransferases
b.85.7.2;Viral histone H3 Lysine 27 Methyltransferase
b.85.7.3;RuBisCo LSMT catalytic domain
b.85.2.1;Head decoration protein D (gpD, major capsid protein D)
b.85.3.1;Urease, beta-subunit
b.85.6.1;MoeA C-terminal domain-like
b.85.4.1;dUTPase-like
b.85.5.1;Tlp20, baculovirus telokin-like protein
b.153.1.2;tRNA-Ile-lysidine synthetase, TilS, C-terminal domain
b.153.1.1;B3/B4 domain of PheRS, PheT
b.119.1.1;C-terminal autoproteolytic domain of nucleoporin nup98
b.163.1.1;Mtd domain-like
b.163.1.2;Lactophage receptor-binding protein N-terminal domain
b.164.1.1;SARS ORF9b-like
b.126.1.1;Adsorption protein p2
b.127.1.1;Baseplate structural protein gp8
b.86.1.1;Hedgehog C-terminal (Hog) autoprocessing domain
b.86.1.2;Intein (protein splicing domain)
b.87.1.1;LexA-related
b.87.1.2;Type 1 signal peptidase
b.110.1.1;Cloacin translocation domain
b.88.1.1;RabGEF Mss4
b.88.1.2;Translationally controlled tumor protein TCTP (histamine-releasing factor)
b.88.1.3;SelR domain
b.88.1.4;Glutathione-dependent formaldehyde-activating enzyme, Gfa
b.89.1.1;Cyanovirin-N
b.120.1.1;Tp47 lipoprotein, N-terminal domain
b.102.1.1;Methuselah ectodomain
b.90.1.1;Head-binding domain of phage P22 tailspike protein
b.91.1.1;E2 regulatory, transactivation domain
b.103.1.1;MoeA N-terminal region -like
b.165.1.1;MOSC N-terminal domain-like
b.166.1.1;MAL13P1.257-like
b.92.1.2;Cytosine deaminase
b.92.1.1;alpha-Subunit of urease
b.92.1.3;Hydantoinase (dihydropyrimidinase)
b.92.1.4;SAH/MTA deaminase-like
b.92.1.7;Isoaspartyl dipeptidase
b.92.1.5;N-acetylglucosamine-6-phosphate deacetylase, NagA
b.92.1.6;D-aminoacylase
b.92.1.8;Adenine deaminase
b.92.1.9;Zn-dependent arginine carboxypeptidase-like
b.92.1.10;Imidazolonepropionase-like
b.92.1.11;DR0824-like
b.93.1.1;Epsilon subunit of F1F0-ATP synthase N-terminal domain
b.113.1.1;N-terminal domain of MutM-like DNA repair proteins
b.128.1.1;Hypothetical protein YojF
b.142.1.1;Type II restriction endonuclease effector domain
b.142.1.2;B3 DNA binding domain
b.129.1.1;Kis/PemI addiction antidote
b.129.1.3;AbrB N-terminal domain-like
b.129.1.2;Hypothetical protein MraZ
b.129.2.1;PG0164-like
b.129.2.2;AF2212-like
b.122.1.1;PUA domain
b.122.1.3;ATP sulfurylase N-terminal domain
b.122.1.2;YggJ N-terminal domain-like
b.122.1.4;Hypothetical protein EF3133
b.122.1.5;Hypothetical protein TTHA0113
b.122.1.6;ProFAR isomerase associated domain
b.122.1.7;yqfB-like
b.122.1.8;Atu2648/PH1033-like
b.122.1.9;Hypothetical RNA methyltransferase domain (HRMD)
b.122.1.10;LON domain-like
b.122.1.11;PrgU-like
b.122.1.12;SRA domain-like
b.122.1.13;YtmB-like
b.145.1.1;AXH domain
b.167.1.1;Usher N-domain
b.168.1.1;HisI-like
b.169.1.1;MFPT repeat
b.104.1.1;P-domain of calnexin/calreticulin
c.1.1.1;Triosephosphate isomerase (TIM)
c.1.2.1;Histidine biosynthesis enzymes
c.1.2.2;D-ribulose-5-phosphate 3-epimerase
c.1.2.3;Decarboxylase
c.1.2.4;Tryptophan biosynthesis enzymes
c.1.2.5;NanE-like
c.1.2.6;PdxS-like
c.1.3.1;Thiamin phosphate synthase
c.1.24.1;Pyridoxine 5'-phosphate synthase
c.1.4.1;FMN-linked oxidoreductases
c.1.5.1;Inosine monophosphate dehydrogenase (IMPDH)
c.1.6.1;Alanine racemase-like, N-terminal domain
c.1.6.2;"Hypothetical" protein ybl036c
c.1.7.1;Aldo-keto reductases (NADP)
c.1.8.1;Amylase, catalytic domain
c.1.8.3;beta-glycanases
c.1.8.11;Putative alpha-L-fucosidase, catalytic domain
c.1.8.4;Family 1 of glycosyl hydrolase
c.1.8.5;Type II chitinase
c.1.8.8;1,4-beta-N-acetylmuraminidase
c.1.8.6;beta-N-acetylhexosaminidase catalytic domain
c.1.8.10;alpha-D-glucuronidase/Hyaluronidase catalytic domain
c.1.8.7;NagZ-like
c.1.8.9;Bee venom hyaluronidase
c.1.8.12;Outer surface protein, N-terminal domain
c.1.8.13;YicI catalytic domain-like
c.1.8.14;Glycosyl hydrolases family 35 catalytic domain
c.1.8.15;TM1410-like
c.1.9.1;Adenosine/AMP deaminase
c.1.9.4;Dihydroorotase
c.1.9.5;Cytosine deaminase catalytic domain
c.1.9.2;alpha-subunit of urease, catalytic domain
c.1.9.6;Hydantoinase (dihydropyrimidinase), catalytic domain
c.1.9.9;SAH/MTA deaminase-like
c.1.9.13;Isoaspartyl dipeptidase, catalytic domain
c.1.9.10;N-acetylglucosamine-6-phosphate deacetylase, NagA, catalytic domain
c.1.9.11;D-aminoacylase, catalytic domain
c.1.9.12;TatD Mg-dependent DNase-like
c.1.9.3;Phosphotriesterase-like
c.1.9.7;Renal dipeptidase
c.1.9.8;Uronate isomerase-like
c.1.9.14;Adenine deaminase-like
c.1.9.15;PP1699/LP2961-like
c.1.9.16;DR0824-like
c.1.9.17;Imidazolonepropionase-like
c.1.9.18;Zn-dependent arginine carboxypeptidase-like
c.1.10.1;Class I aldolase
c.1.10.2;Class II FBP aldolase
c.1.10.3;5-aminolaevulinate dehydratase, ALAD (porphobilinogen synthase)
c.1.10.4;Class I DAHP synthetase
c.1.10.5;HMGL-like
c.1.10.6;NeuB-like
c.1.10.7;GatZ-like
c.1.10.8;Class-II DAHP synthetase
c.1.11.1;Enolase
c.1.11.2;D-glucarate dehydratase-like
c.1.12.1;Pyruvate kinase
c.1.12.2;Pyruvate phosphate dikinase, C-terminal domain
c.1.12.3;Phosphoenolpyruvate carboxylase
c.1.12.7;Phosphoenolpyruvate mutase/Isocitrate lyase-like
c.1.12.5;HpcH/HpaI aldolase
c.1.12.8;Ketopantoate hydroxymethyltransferase PanB
c.1.12.9;Mll9387-like
c.1.13.1;Malate synthase G
c.1.14.1;RuBisCo, large subunit, C-terminal domain
c.1.15.1;Endonuclease IV
c.1.15.4;IolI-like
c.1.15.5;Hypothetical protein YgbM (EC1530)
c.1.15.2;L-rhamnose isomerase
c.1.15.3;Xylose isomerase
c.1.15.6;UxuA-like
c.1.15.7;KguE-like
c.1.16.1;Bacterial luciferase (alkanal monooxygenase)
c.1.16.2;Non-fluorescent flavoprotein (luxF, FP390)
c.1.16.3;F420 dependent oxidoreductases
c.1.16.4;Ssud-like monoxygenases
c.1.17.1;NadC C-terminal domain-like
c.1.17.2;Monomeric nicotinate phosphoribosyltransferase C-terminal domain
c.1.18.1;Mammalian PLC
c.1.18.2;Bacterial PLC
c.1.18.3;Glycerophosphoryl diester phosphodiesterase
c.1.19.1;Methylmalonyl-CoA mutase, N-terminal (CoA-binding) domain
c.1.19.2;Glutamate mutase, large subunit
c.1.19.3;Diol dehydratase, alpha subunit
c.1.19.4;D-lysine 5,6-aminomutase alpha subunit, KamD
c.1.20.1;tRNA-guanine transglycosylase
c.1.21.1;Dihydropteroate synthetase
c.1.21.2;Methyltetrahydrofolate-utiluzing methyltransferases
c.1.22.1;Uroporphyrinogen decarboxylase, UROD
c.1.22.2;Cobalamin-independent methionine synthase
c.1.23.1;Methylenetetrahydrofolate reductase
c.1.23.2;Proline dehydrohenase domain of bifunctional PutA protein
c.1.25.1;Monomethylamine methyltransferase MtmB
c.1.26.1;Homocysteine S-methyltransferase
c.1.27.1;(2r)-phospho-3-sulfolactate synthase ComA
c.1.28.1;Biotin synthase
c.1.28.2;Oxygen-independent coproporphyrinogen III oxidase HemN
c.1.28.3;MoCo biosynthesis proteins
c.1.29.1;GlpP-like
c.1.30.1;CutC-like
c.1.31.1;ThiG-like
c.1.32.1;TM1631-like
c.1.33.1;EAL domain
c.2.1.1;Alcohol dehydrogenase-like, C-terminal domain
c.2.1.2;Tyrosine-dependent oxidoreductases
c.2.1.3;Glyceraldehyde-3-phosphate dehydrogenase-like, N-terminal domain
c.2.1.4;Formate/glycerate dehydrogenases, NAD-domain
c.2.1.11;Siroheme synthase N-terminal domain-like
c.2.1.5;LDH N-terminal domain-like
c.2.1.6;6-phosphogluconate dehydrogenase-like, N-terminal domain
c.2.1.7;Aminoacid dehydrogenase-like, C-terminal domain
c.2.1.9;Potassium channel NAD-binding domain
c.2.1.12;Transcriptional repressor Rex, C-terminal domain
c.2.1.8;CoA-binding domain
c.2.1.13;Ornithine cyclodeaminase-like
c.3.1.1;C-terminal domain of adrenodoxin reductase-like
c.3.1.2;FAD-linked reductases, N-terminal domain
c.3.1.3;GDI-like N domain
c.3.1.4;Succinate dehydrogenase/fumarate reductase flavoprotein N-terminal domain
c.3.1.5;FAD/NAD-linked reductases, N-terminal and central domains
c.3.1.6;Thi4-like
c.3.1.7;GidA-like
c.3.1.8;HI0933 N-terminal domain-like
c.4.1.1;N-terminal domain of adrenodoxin reductase-like
c.4.1.2;D-aminoacid oxidase, N-terminal domain
c.4.1.3;UDP-galactopyranose mutase, N-terminal domain
c.5.1.1;MurCD N-terminal domain
c.6.1.1;Glycosyl hydrolases family 6, cellulases
c.6.3.1;PHP domain
c.6.3.2;RNase P subunit p30
c.6.2.2;4-alpha-glucanotransferase, N-terminal domain
c.6.2.1;alpha-mannosidase
c.6.2.4;AmyC N-terminal domain-like
c.6.2.3;NodB-like polysaccharide deacetylase
c.6.2.5;LamB/YcsF-like
c.6.2.6;PA1517-like
c.6.2.7;Divergent polysaccharide deacetylase
c.6.2.8;YdjC-like
c.7.1.1;PFL-like
c.7.1.2;R1 subunit of ribonucleotide reductase, C-terminal domain
c.7.1.4;B12-dependent (class II) ribonucleotide reductase
c.7.1.3;Class III anaerobic ribonucleotide reductase NRDD subunit
c.7.1.5;SP0239-like
c.8.1.1;Pyruvate phosphate dikinase, central domain
c.8.1.2;N-terminal domain of enzyme I of the PEP:sugar phosphotransferase system
c.8.7.1;RraA-like
c.8.8.1;Putative cyclase
c.8.2.1;LeuD-like
c.8.2.2;IlvD/EDD C-terminal domain-like
c.8.2.3;AF0055-like
c.8.3.1;Carbamoyl phosphate synthetase, small subunit N-terminal domain
c.8.6.1;Swiveling domain of dehydratase reactivase alpha subunit
c.8.4.1;PA domain
c.8.5.1;GroEL-like chaperone, apical domain
c.8.5.2;Group II chaperonin (CCT, TRIC), apical domain
c.8.9.1;FumA C-terminal domain-like
c.8.10.1;LD-carboxypeptidase A C-terminal domain-like
c.9.1.1;Barstar-related
c.9.2.1;Ribosomal protein L32e
c.98.1.1;MurE/MurF N-terminal domain
c.98.2.1;HPr kinase/phoshatase HprK N-terminal domain
c.98.2.2;DRTGG domain
c.10.1.1;28-residue LRR
c.10.1.2;Rna1p (RanGAP1), N-terminal domain
c.10.1.3;Cyclin A/CDK2-associated p19, Skp2
c.10.2.1;Internalin LRR domain
c.10.2.6;Leucine rich effector protein YopM
c.10.2.7;Ngr ectodomain-like
c.10.2.8;Polygalacturonase inhibiting protein PGIP
c.10.2.2;Rab geranylgeranyltransferase alpha-subunit, C-terminal domain
c.10.2.3;mRNA export factor tap
c.10.2.4;U2A'-like
c.10.2.5;L domain
c.10.3.1;Outer arm dynein light chain 1
c.12.1.1;Ribosomal proteins L15p and L18e
c.13.1.1;CRAL/TRIO domain
c.13.2.1;Anti-sigma factor antagonist SpoIIaa
c.13.2.2;Sfri0576-like
c.14.1.1;Clp protease, ClpP subunit
c.14.1.2;Tail specific protease, catalytic domain
c.14.1.3;Crotonase-like
c.14.1.4;Biotin dependent carboxylase carboxyltransferase domain
c.15.1.3;BRCT domain
c.15.1.4;53BP1
c.15.1.1;DNA-repair protein XRCC1
c.15.1.2;DNA ligase
c.15.1.5;DNA topoisomerase II binding protein 1, TopBP1
c.16.1.1;Lumazine synthase
c.18.1.1;Uracil-DNA glycosylase
c.18.1.2;Mug-like
c.18.1.3;Single-strand selective monofunctional uracil-DNA glycosylase SMUG1
c.18.1.4;AF0587 domain-like
c.125.1.1;Creatininase
c.126.1.1;DNA polymerase III psi subunit
c.20.1.1;Initiation factor IF2/eIF5b, domain 3
c.58.1.1;Aminoacid dehydrogenases
c.58.1.2;Tetrahydrofolate dehydrogenase/cyclohydrolase
c.58.1.4;Methylene-tetrahydromethanopterin dehydrogenase
c.58.1.5;Shikimate dehydrogenase-like
c.58.1.3;Malic enzyme N-domain
c.136.1.1;Toprim domain
c.149.1.1;AtpF-like
c.21.1.1;Ribosomal protein L13
c.22.1.1;Ribosomal protein L4
c.142.1.1;Nqo1 FMN-binding domain-like
c.23.1.1;CheY-related
c.23.1.2;Receiver domain of the ethylene receptor
c.23.1.3;Positive regulator of the amidase operon AmiR
c.23.1.4;Ornithine decarboxylase N-terminal "wing" domain
c.23.1.5;N-terminal domain of the circadian clock protein KaiA
c.23.1.6;RcsC linker domain-like
c.23.1.7;AF1403 C-terminal domain-like
c.23.2.1;Toll/Interleukin receptor TIR domain
c.23.3.1;Hypothetical protein MTH538
c.23.4.1;Succinyl-CoA synthetase domains
c.23.5.1;Flavodoxin-related
c.23.5.2;Cytochrome p450 reductase N-terminal domain-like
c.23.5.3;Quinone reductase
c.23.5.5;Hypothetical protein SP1951
c.23.5.6;Hypothetical protein YwqN
c.23.5.4;NADPH-dependent FMN reductase
c.23.5.7;Flavoprotein NrdI
c.23.5.8;WrbA-like
c.23.6.1;Cobalamin (vitamin B12)-binding domain
c.23.8.1;N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)
c.23.10.1;Esterase
c.23.10.2;Esterase domain of haemagglutinin-esterase-fusion glycoprotein HEF1
c.23.10.3;Acetylhydrolase
c.23.10.4;Rhamnogalacturonan acetylesterase
c.23.10.5;TAP-like
c.23.10.6;Hypothetical protein alr1529
c.23.10.7;Putative acetylxylan esterase-like
c.23.10.8;YxiM C-terminal domain-like
c.23.10.9;BT2961-like
c.23.11.1;Beta-D-glucan exohydrolase, C-terminal domain
c.23.12.1;Formate/glycerate dehydrogenases, substrate-binding domain
c.23.12.2;L-alanine dehydrogenase-like
c.23.12.3;S-adenosylhomocystein hydrolase
c.23.13.1;Type II 3-dehydroquinate dehydratase
c.23.14.1;N-deoxyribosyltransferase
c.23.14.2;Hypothetical protein PA1492
c.23.14.3;ADP ribosyl cyclase-like
c.23.15.1;Ribosomal protein S2
c.23.17.1;Precorrin-8X methylmutase CbiC/CobH
c.23.16.1;Class I glutamine amidotransferases (GAT)
c.23.16.5;A4 beta-galactosidase middle domain
c.23.16.2;DJ-1/PfpI
c.23.16.3;Catalase, C-terminal domain
c.23.16.4;Aspartyl dipeptidase PepE
c.23.16.6;ThuA-like
c.23.16.7;LD-carboxypeptidase A N-terminal domain-like
c.23.16.8;HTS-like
c.23.16.9;STM3548-like
c.24.1.1;Carbamoyl phosphate synthetase, large subunit allosteric, C-terminal domain
c.24.1.2;Methylglyoxal synthase, MgsA
c.24.1.3;Inosicase
