a.1.1;Globin-like
d.68.5;C-terminal domain of ProRS
d.68.7;R3H domain
d.68.2;EPT/RTPC-like
d.68.8;SMR domain-like
d.314.1;PUG domain-like
d.360.1;PG1857-like
d.361.1;PB2 C-terminal domain-like
d.204.1;Ribosome binding protein Y (YfiA homologue)
d.212.1;TolA/TonB C-terminal domain
d.70.1;Yeast killer toxins
d.71.1;Cell division protein MinE topological specificity domain
d.253.1;Hypothetical protein YoaG
d.362.1;BLRF2-like
d.254.1;Nucleocapsid protein dimerization domain
d.72.1;Cyanase C-terminal domain
d.225.1;Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains
d.73.1;RuBisCO, small subunit
d.74.1;PCD-like
d.74.2;C-terminal domain of arginine repressor
d.74.3;RBP11-like subunits of RNA polymerase
d.74.4;GAD domain-like
d.74.5;PH0987 N-terminal domain-like
d.315.1;TRCF domain-like
d.363.1;NMB0513-like
d.364.1;PA1123-like
d.263.1;Hypothetical protein Yml108w
d.75.1;tRNA-intron endonuclease N-terminal domain-like
d.75.2;DNA repair protein MutS, domain I
d.76.1;GYF domain
d.76.2;BRK domain-like
d.205.1;GTP cyclohydrolase I feedback regulatory protein, GFRP
d.77.1;RL5-like
d.78.1;RPB5-like RNA polymerase subunit
d.79.1;YjgF-like
d.79.5;IpsF-like
d.79.2;Tubulin C-terminal domain-like
d.79.3;L30e-like
d.79.4;PurM N-terminal domain-like
d.79.6;Holliday junction resolvase RusA
d.79.7;OmpA-like
d.79.8;YueI-like
d.79.9;BB2672-like
d.273.1;YjbQ-like
d.80.1;Tautomerase/MIF
d.81.1;Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain
d.81.2;Serine metabolism enzymes domain
d.81.3;FwdE-like
d.81.4;V-type ATPase subunit E-like
d.365.1;Ava3019-like
d.274.1;Hypothetical protein PF0899
d.183.1;Major capsid protein gp5
d.316.1;MK0786-like
d.317.1;YkuJ-like
d.82.1;Copper amine oxidase, domain N
d.82.2;Frataxin/Nqo15-like
d.82.3;Hypothetical protein c14orf129, hspc210
d.82.4;GAS2 domain-like
d.82.5;GK1464-like
d.83.2;Activator of Hsp90 ATPase, Aha1
d.83.1;Bactericidal permeability-increasing protein, BPI
d.366.1;SpoVG-like
d.84.1;Subtilisin inhibitor
d.85.1;RNA bacteriophage capsid protein
d.86.1;eIF4e-like
d.87.1;FAD/NAD-linked reductases, dimerisation (C-terminal) domain
d.87.2;CO dehydrogenase flavoprotein C-terminal domain-like
d.88.1;SRF-like
d.89.1;Origin of replication-binding domain, RBD-like
d.318.1;SARS receptor-binding domain-like
d.275.1;Hut operon positive regulatory protein HutP
d.276.1;Hypothetical protein yfbM
d.319.1;TTHA1528-like
d.320.1;YojJ-like
d.321.1;STIV B116-like
d.277.1;Bacillus phage protein
d.90.1;FMN-dependent nitroreductase-like
d.91.1;N-terminal domain of eukaryotic peptide chain release factor subunit 1, ERF1
d.367.1;EscU C-terminal domain-like
d.92.1;Metalloproteases ("zincins"), catalytic domain
d.92.2;beta-N-acetylhexosaminidase-like domain
d.93.1;SH2 domain
d.94.1;HPr-like
d.94.2;Putative transcriptional regulator TM1602, C-terminal domain
d.286.1;TrkA C-terminal domain-like
d.237.1;Hypothetical protein YjiA, C-terminal domain
d.206.1;YggU-like
d.95.1;Glucose permease domain IIB
d.95.2;Homing endonucleases
d.96.1;Tetrahydrobiopterin biosynthesis enzymes-like
d.96.2;ApbE-like
d.97.1;Cell cycle regulatory proteins
d.368.1;YonK-like
d.98.1;beta-lactamase-inhibitor protein, BLIP
d.98.2;BT0923-like
d.99.1;Ribosomal protein L9 C-domain
d.100.1;L9 N-domain-like
d.100.2;MbtH-like
d.255.1;Tombusvirus P19 core protein, VP19
d.101.1;Ribonuclease PH domain 2-like
d.102.1;Regulatory factor Nef
d.103.1;CytB endotoxin-like
d.104.1;Class II aaRS and biotin synthetases
d.105.1;Subdomain of clathrin and coatomer appendage domain
d.106.1;SCP-like
d.256.1;Ta1353-like
d.107.1;Mog1p/PsbP-like
d.369.1;SMI1/KNR4-like
d.108.1;Acyl-CoA N-acyltransferases (Nat)
d.109.1;Actin depolymerizing proteins
d.109.2;C-terminal, gelsolin-like domain of Sec23/24
d.109.3;FLJ32549 C-terminal domain-like
d.322.1;PHP14-like
d.110.1;Profilin (actin-binding protein)
d.110.2;GAF domain-like
d.110.3;PYP-like sensor domain (PAS domain)
d.110.5;Pheromone-binding domain of LuxR-like quorum-sensing transcription factors
d.110.6;Sensory domain-like
d.110.4;SNARE-like
d.110.7;Roadblock/LC7 domain
d.110.8;YeeU-like
d.110.9;GlcG-like
d.110.10;YNR034W-A-like
d.278.1;Ligand-binding domain in the NO signalling and Golgi transport
d.323.1;Phage tail protein-like
d.111.1;PR-1-like
d.112.1;Phoshotransferase/anion transport protein
d.113.1;Nudix
d.114.1;5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain
d.115.1;YrdC/RibB
d.226.1;GIY-YIG endonuclease
d.116.1;YbaK/ProRS associated domain
d.117.1;Thymidylate synthase/dCMP hydroxymethylase
d.207.1;Thymidylate synthase-complementing protein Thy1
d.118.1;N-acetylmuramoyl-L-alanine amidase-like
d.120.1;Cytochrome b5-like heme/steroid binding domain
d.370.1;BTG domain-like
d.324.1;DUSP-like
d.121.1;DNA topoisomerase I domain
d.122.1;ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
d.371.1;YehR-like
d.123.1;Sporulation response regulatory protein Spo0B
d.124.1;Ribonuclease Rh-like
d.192.1;YlxR-like
d.279.1;YggX-like
d.325.1;L28p-like
d.372.1;YqaI-like
d.125.1;Ornithine decarboxylase C-terminal domain
d.126.1;Pentein
d.127.1;Creatinase/aminopeptidase
d.373.1;gpW/gp25-like
d.128.1;Glutamine synthetase/guanido kinase
d.129.1;TATA-box binding protein-like
d.129.5;MoaD-related protein, C-terminal domain
d.129.6;KA1-like
d.129.7;TT1751-like
d.129.4;Cell-division protein ZipA, C-terminal domain
d.129.2;Phosphoglucomutase, C-terminal domain
d.129.3;Bet v1-like
d.129.8;Rbstp2229 protein
d.129.9;RalF, C-terminal domain
d.129.10;YwmB-like
d.129.11;YugN-like
d.326.1;XisI-like
d.130.1;S-adenosylmethionine synthetase
d.131.1;DNA clamp
d.257.1;Hypothetical protein TM0160
d.374.1;TTHC002-like
d.133.1;Molybdenum cofactor-binding domain
d.375.1;NE1680-like
d.134.1;Nitrite and sulphite reductase 4Fe-4S domain-like
d.327.1;DeoB insert domain-like
d.135.1;The spindle assembly checkpoint protein mad2
d.136.1;Phospholipase D/nuclease
d.328.1;CorA soluble domain-like
d.137.1;Monooxygenase (hydroxylase) regulatory protein
d.139.1;PurM C-terminal domain-like
d.329.1;PF0523-like
d.258.1;Chorismate synthase, AroC
d.193.1;Hsp33 domain
d.208.1;MTH1598-like
d.197.1;Protein-L-isoaspartyl O-methyltransferase, C-terminal domain
d.227.1;OsmC-like
d.259.1;Hypothetical protein HI1480
d.330.1;ERH-like
d.140.1;Ribosomal protein S8
d.141.1;Ribosomal protein L6
d.331.1;NE0471 N-terminal domain-like
d.376.1;Lp2179-like
d.332.1;RGC domain-like
d.215.1;Smc hinge domain
d.292.1;DNA mismatch repair protein MutL
d.142.1;Glutathione synthetase ATP-binding domain-like
d.142.2;DNA ligase/mRNA capping enzyme, catalytic domain
d.143.1;SAICAR synthase-like
d.144.1;Protein kinase-like (PK-like)
d.145.1;FAD-binding/transporter-associated domain-like
d.146.1;Uridine diphospho-N-Acetylenolpyruvylglucosamine reductase, MurB, C-terminal domain
d.147.1;Methenyltetrahydromethanopterin cyclohydrolase
d.264.1;Prim-pol domain
d.148.1;Hect, E3 ligase catalytic domain
d.149.1;Nitrile hydratase alpha chain
d.150.1;4'-phosphopantetheinyl transferase
d.151.1;DNase I-like
d.152.1;Aldehyde ferredoxin oxidoreductase, N-terminal domain
d.153.1;N-terminal nucleophile aminohydrolases (Ntn hydrolases)
d.153.2;Archaeal IMP cyclohydrolase PurO
d.154.1;DmpA/ArgJ-like
d.155.1;Pyruvoyl-dependent histidine and arginine decarboxylases
d.156.1;S-adenosylmethionine decarboxylase
d.157.1;Metallo-hydrolase/oxidoreductase
d.219.1;PP2C-like
d.159.1;Metallo-dependent phosphatases
d.160.1;Carbon-nitrogen hydrolase
d.194.1;CNF1/YfiH-like putative cysteine hydrolases
d.161.1;ADC synthase
d.280.1;Sulfolobus fructose-1,6-bisphosphatase-like
d.162.1;LDH C-terminal domain-like
d.163.1;DNA breaking-rejoining enzymes
d.228.1;Replication modulator SeqA, C-terminal DNA-binding domain
d.164.1;SMAD MH1 domain
d.195.1;YopH tyrosine phosphatase N-terminal domain
d.216.1;Rotavirus NSP2 fragment, N-terminal domain
d.377.1;Rv2827c C-terminal domain-like
d.378.1;Phosphoprotein oligomerization domain-like
d.379.1;Taf5 N-terminal domain-like
d.380.1;Jann2411-like
d.381.1;ATP12-like
d.165.1;Ribosome inactivating proteins (RIP)
d.166.1;ADP-ribosylation
d.167.1;Peptide deformylase
d.209.1;LCCL domain
d.168.1;Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain
d.169.1;C-type lectin-like
d.281.1;Hemolytic lectin CEL-III, C-terminal domain
d.170.1;SRCR-like
d.170.2;A heparin-binding domain
d.171.1;Fibrinogen C-terminal domain-like
d.172.1;gp120 core
d.173.1;Methionine synthase activation domain-like
d.333.1;UbiD C-terminal domain-like
d.238.1;Hypothetical protein TM0875
d.220.1;Metal cation-transporting ATPase, ATP-binding domain N
d.260.1;Suppressor of Fused, N-terminal domain
d.174.1;Nitric oxide (NO) synthase oxygenase domain
d.175.1;Penicillin binding protein dimerisation domain
d.176.1;Oxidoreductase molybdopterin-binding domain
d.177.1;FAH
d.178.1;Aromatic aminoacid monoxygenases, catalytic and oligomerization domains
d.179.1;Substrate-binding domain of HMG-CoA reductase
d.210.1;Argininosuccinate synthetase, C-terminal domain
d.261.1;Hypothetical protein PH1602
d.334.1;IlvD/EDD N-terminal domain-like
d.287.1;DNA methylase specificity domain
d.239.1;GCM domain
d.180.1;Conserved core of transcriptional regulatory protein vp16
d.181.1;Insert subdomain of RNA polymerase alpha subunit
d.182.1;Baseplate structural protein gp11
d.231.1;Receptor-binding domain of short tail fibre protein gp12
d.196.1;Outer capsid protein sigma 3
d.293.1;Phosphoprotein M1, C-terminal domain
d.335.1;L,D-transpeptidase pre-catalytic domain-like
d.336.1;YbiA-like
d.262.1;NinB
d.337.1;AF2331-like
d.282.1;SSo0622-like
d.283.1;Putative modulator of DNA gyrase, PmbA/TldD
d.382.1;PSTPO5379-like
d.383.1;PG1388-like
d.338.1;Oxysterol-binding protein-like
d.339.1;ORC1-binding domain
d.340.1;CofE-like
d.341.1;Peptidoglycan deacetylase N-terminal noncatalytic region
d.184.1;Non-globular alpha+beta subunits of globular proteins
e.1.1;Serpins
e.59.1;FdhE-like
e.64.1;FlhC-like
e.2.1;Replication terminator protein (Tus)
e.65.1;VPA0735-like
e.44.1;2-methylcitrate dehydratase PrpD
e.45.1;Antivirulence factor
e.66.1;Api92-like
e.67.1;PH0156-like
e.68.1;YacF-like
e.46.1;Virulence-associated V antigen
e.5.1;Heme-dependent catalase-like
e.6.1;Acyl-CoA dehydrogenase NM domain-like
e.7.1;Carbohydrate phosphatase
e.8.1;DNA/RNA polymerases
e.29.1;beta and beta-prime subunits of DNA dependent RNA-polymerase
e.69.1;Poly(A) polymerase catalytic subunit-like
e.41.1;Adenylylcyclase toxin (the edema factor)
e.10.1;Prokaryotic type I DNA topoisomerase
e.11.1;Type II DNA topoisomerase
e.12.1;DNA topoisomerase IV, alpha subunit
e.13.1;DNA primase core
e.49.1;Recombination protein RecR
e.15.1;Eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment
e.17.1;D-aminoacid aminotransferase-like PLP-dependent enzymes
e.18.1;HydB/Nqo4-like
e.19.1;HydA/Nqo6-like
e.22.1;Dehydroquinate synthase-like
e.37.1;Siroheme synthase middle domains-like
e.23.1;Acetyl-CoA synthetase-like
e.24.1;Ribosomal protein L1
e.38.1;Release factor
e.56.1;YaeB-like
e.70.1;MalF N-terminal region-like
e.39.1;YebC-like
e.40.1;Cullin homology domain
e.25.1;Sec1/munc18-like (SM) proteins
e.26.1;Prismane protein-like
e.43.1;Subunits of heterodimeric actin filament capping protein Capz
e.3.1;beta-lactamase/transpeptidase-like
e.27.1;Upper collar protein gp10 (connector protein)
e.71.1;AF1531-like
e.32.1;Phase 1 flagellin
e.47.1;39 kda initiator binding protein, IBP39, C-terminal domains
e.50.1;AF1104-like
e.72.1;SSO1389-like
e.51.1;Urocanase
e.52.1;NAD kinase/diacylglycerol kinase-like
e.53.1;QueA-like
e.54.1;CbiD-like
e.55.1;Rap/Ran-GAP
e.57.1;Vacuolar ATP synthase subunit C
e.60.1;Thermophilic metalloprotease-like
e.61.1;ImpE-like
e.73.1;CV3147-like
e.62.1;Heme iron utilization protein-like
e.74.1;HI0933 insert domain-like
e.34.1;NSP3 homodimer
e.63.1;E2F-DP heterodimerization region
e.35.1;Membrane penetration protein mu1
e.75.1;flu NP-like
e.76.1;Viral glycoprotein ectodomain-like
e.28.1;Reovirus inner layer core protein p3
e.42.1;L-A virus major coat protein
e.48.1;Major capsid protein VP5
e.58.1;Viral ssDNA binding protein
f.1.1;Colicin
f.1.2;Diphtheria toxin, middle domain
f.1.3;delta-Endotoxin (insectocide), N-terminal domain
f.1.4;Bcl-2 inhibitors of programmed cell death
f.1.5;Exotoxin A, middle domain
f.13.1;Family A G protein-coupled receptor-like
f.23.10;Photosystem II reaction centre subunit H, transmembrane region
f.23.1;Mitochondrial cytochrome c oxidase subunit IV
f.23.2;Mitochondrial cytochrome c oxidase subunit VIa
f.23.3;Mitochondrial cytochrome c oxidase subunit VIc
f.23.4;Mitochondrial cytochrome c oxidase subunit VIIa
f.23.5;Mitochondrial cytochrome c oxidase subunit VIIb
f.23.6;Mitochondrial cytochrome c oxidase subunit VIIc (aka VIIIa)
f.23.7;Mitochondrial cytochrome c oxidase subunit VIIIb (aka IX)
f.23.8;Bacterial aa3 type cytochrome c oxidase subunit IV
f.23.9;Bacterial ba3 type cytochrome c oxidase subunit IIa
f.23.21;F1F0 ATP synthase subunit B, membrane domain
f.23.11;Cytochrome c1 subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase), transmembrane anchor
f.23.12;ISP transmembrane anchor
f.23.13;Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.14;Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.15;Subunit XI (6.4 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.16;Subunit III of photosystem I reaction centre, PsaF
f.23.17;Subunit VIII of photosystem I reaction centre, PsaI
f.23.18;Subunit IX of photosystem I reaction centre, PsaJ
f.23.19;Subunit XII of photosystem I reaction centre, PsaM
f.23.20;Subunit PsaX of photosystem I reaction centre
f.23.22;Iron-sulfur subunit of formate dehydrogenase N, transmembrane anchor
f.23.23;Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor
f.23.24;PetL subunit of the cytochrome b6f complex
f.23.25;PetM subunit of the cytochrome b6f complex
f.23.26;PetG subunit of the cytochrome b6f complex
f.23.27;PetN subunit of the cytochrome b6f complex
f.23.28;Preprotein translocase SecE subunit
f.23.29;Sec-beta subunit
f.23.30;Oligosaccharyltransferase subunit ost4p
f.23.31;Photosystem II reaction center protein L, PsbL
f.23.32;Photosystem II reaction center protein J, PsbJ
f.23.33;Photosystem II 10 kDa phosphoprotein PsbH
f.23.34;Photosystem II reaction center protein T, PsbT
f.23.35;Photosystem II reaction center protein M, PsbM
f.23.36;Photosystem II reaction center protein K, PsbK
f.23.37;Photosystem II reaction center protein I, PsbI
f.23.38;Cytochrome b559 subunits
f.26.1;Bacterial photosystem II reaction centre, L and M subunits
f.24.1;Cytochrome c oxidase subunit I-like
f.25.1;Cytochrome c oxidase subunit III-like
f.17.2;Cytochrome c oxidase subunit II-like, transmembrane region
f.17.1;F1F0 ATP synthase subunit C
f.17.3;Magnesium transport protein CorA, transmembrane region
f.17.4;Htr2 transmembrane domain-like
f.17.5;PsbZ-like
f.18.1;F1F0 ATP synthase subunit A
f.52.1;ATP synthase B chain-like
f.53.1;ATP synthase D chain-like
f.19.1;Aquaporin-like
f.44.1;Ammonium transporter
f.38.1;MFS general substrate transporter
f.54.1;SNF-like
f.49.1;Proton glutamate symport protein
f.20.1;Clc chloride channel
f.14.1;Voltage-gated potassium channels
f.15.1;Small-conductance potassium channel
f.16.1;Gated mechanosensitive channel
f.36.1;Neurotransmitter-gated ion-channel transmembrane pore
f.34.1;Mechanosensitive channel protein MscS (YggB), transmembrane region
f.39.1;Multidrug resistance efflux transporter EmrE
f.40.1;V-type ATP synthase subunit C
f.41.1;Preprotein translocase SecY subunit
f.29.1;Photosystem I subunits PsaA/PsaB
f.30.1;Photosystem I reaction center subunit X, PsaK
f.31.1;Photosystem I reaction center subunit XI, PsaL
f.22.1;ABC transporter involved in vitamin B12 uptake, BtuC
f.37.1;ABC transporter transmembrane region
f.35.1;Multidrug efflux transporter AcrB transmembrane domain
f.32.1;a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.21.1;Transmembrane di-heme cytochromes
f.21.3;Respiratory nitrate reductase 1 gamma chain
f.21.2;Fumarate reductase respiratory complex transmembrane subunits
f.27.1;14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.28.1;Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.45.1;Mitochondrial ATP synthase coupling factor 6
f.33.1;Calcium ATPase, transmembrane domain M
f.3.1;Light-harvesting complex subunits
f.55.1;Photosystem II antenna protein-like
f.42.1;Mitochondrial carrier
f.43.1;Chlorophyll a-b binding protein
f.56.1;MAPEG domain-like
f.57.1;MgtE membrane domain-like
f.58.1;MetI-like
f.51.1;Rhomboid-like
f.59.1;Cation efflux protein transmembrane domain-like
f.50.1;Connexin43
f.4.1;OMPA-like
f.4.4;OMPT-like
f.4.5;Autotransporter
f.4.2;Outer membrane phospholipase A (OMPLA)
f.4.3;Porins
f.4.6;Tsx-like channel
f.5.1;Outer membrane efflux proteins (OEP)
f.46.1;HlyD-like secretion proteins
f.6.1;Leukocidin-like
f.7.1;Lipovitellin-phosvitin complex; beta-sheet shell regions
f.8.1;Aerolisin/ETX pore-forming domain
f.9.1;Perfringolysin
f.10.1;Viral glycoprotein, central and dimerisation domains
f.47.1;VP4 membrane interaction domain
f.12.1;Head and neck region of the ectodomain of NDV fusion glycoprotein
f.48.1;OmpH-like
f.11.1;Anthrax protective antigen
g.1.1;Insulin-like
g.3.1;Plant lectins/antimicrobial peptides
g.3.2;Plant inhibitors of proteinases and amylases
g.3.3;Cyclotides
g.3.4;Gurmarin-like
g.3.5;Agouti-related protein
g.3.6;omega toxin-like
g.3.7;Scorpion toxin-like
g.3.8;Cellulose-binding domain
g.3.9;Growth factor receptor domain
g.3.10;Colipase-like
g.3.11;EGF/Laminin
g.3.12;Bromelain inhibitor VI (cysteine protease inhibitor)
g.3.13;Bowman-Birk inhibitor, BBI
g.3.14;Elafin-like
g.3.15;Leech antihemostatic proteins
g.3.16;Granulin repeat
g.3.17;Satiety factor CART (cocaine and amphetamine regulated transcript)
g.3.18;DPY module
g.3.19;Bubble protein
g.4.1;PMP inhibitors
g.5.1;Midkine
g.60.1;TSP-1 type 1 repeat
g.6.1;Amb V allergen
g.7.1;Snake toxin-like
g.8.1;BPTI-like
g.9.1;Defensin-like
g.10.1;Hairpin loop containing domain-like
g.11.1;Neurotoxin III (ATX III)
g.12.1;LDL receptor-like module
g.13.1;Crambin-like
g.14.1;Kringle-like
g.68.1;Kazal-type serine protease inhibitors
g.69.1;Plant proteinase inhibitors
g.16.1;Trefoil
g.16.2;Plexin repeat
g.16.3;Variant surface glycoprotein MITAT 1.2, VSG 221, C-terminal domain
g.70.1;Necrosis inducing protein 1, NIP1
g.17.1;Cystine-knot cytokines
g.18.1;Complement control module/SCR domain
g.19.1;Crisp domain-like
g.20.1;Blood coagulation inhibitor (disintegrin)
g.21.1;Methylamine dehydrogenase, L chain
g.22.1;Serine protease inhibitors
g.23.1;TB module/8-cys domain
g.24.1;TNF receptor-like
g.25.1;Heparin-binding domain from vascular endothelial growth factor
g.26.1;Antifungal protein (AGAFP)
g.27.1;FnI-like domain
g.28.1;Thyroglobulin type-1 domain
g.29.1;Type X cellulose binding domain, CBDX
g.55.1;Cellulose docking domain, dockering
g.30.1;Carboxypeptidase inhibitor
g.31.1;Invertebrate chitin-binding proteins
g.58.1;Pheromone ER-23
g.63.1;Mollusk pheromone
g.61.1;Apical membrane antigen 1
g.64.1;Somatomedin B domain
g.65.1;Notch domain
g.71.1;Mini-collagen I, C-terminal domain
g.76.1;Hormone receptor domain
g.77.1;Resistin
g.78.1;YAP1 redox domain
g.2.1;Heat-stable enterotoxin B
g.2.2;Neurotoxin B-IV
g.2.3;Pollen allergen ole e 6
g.2.4;VhTI-like
g.83.1;Tim10-like
g.84.1;Vanabin-like
g.32.1;GLA-domain
g.33.1;Cholecystokinin A receptor, N-domain
g.34.1;HIV-1 VPU cytoplasmic domain
g.35.1;HIPIP (high potential iron protein)
g.36.1;Ferredoxin thioredoxin reductase (FTR), catalytic beta chain
g.37.1;beta-beta-alpha zinc fingers
g.38.1;Zn2/Cys6 DNA-binding domain
g.39.1;Glucocorticoid receptor-like (DNA-binding domain)
g.72.1;SBT domain
g.40.1;Retrovirus zinc finger-like domains
g.41.1;Methionyl-tRNA synthetase (MetRS), Zn-domain
g.41.2;Microbial and mitochondrial ADK, insert "zinc finger" domain
g.41.14;NADH pyrophosphatase intervening domain
g.41.3;Zinc beta-ribbon
g.41.4;Casein kinase II beta subunit
g.41.5;Rubredoxin-like
g.41.10;Zn-finger domain of Sec23/24
g.41.11;Ran binding protein zinc finger-like
g.41.13;Hypothetical protein Ta0289 C-terminal domain
g.41.6;Hypothetical protein MTH1184
g.41.7;Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain
g.41.8;Zn-binding ribosomal proteins
g.41.9;RNA polymerase subunits
g.41.15;NOB1 zinc finger-like
g.41.16;Nop10-like SnoRNP
g.41.17;CSL zinc finger
g.41.18;YfgJ-like
g.42.1;Ribosomal protein L36
g.59.1;Zinc-binding domain of translation initiation factor 2 beta
g.79.1;WRKY DNA-binding domain
g.43.1;B-box zinc-binding domain
g.44.1;RING/U-box
g.45.1;ArfGap/RecO-like zinc finger
g.46.1;Metallothionein
g.47.1;Zinc domain conserved in yeast copper-regulated transcription factors
g.48.1;Ada DNA repair protein, N-terminal domain (N-Ada 10)
g.49.1;Cysteine-rich domain
g.80.1;AN1-like Zinc finger
g.85.1;HIT/MYND zinc finger-like
g.89.1;CHY zinc finger-like
g.50.1;FYVE/PHD zinc finger
g.51.1;Zn-binding domains of ADDBP
g.52.1;Inhibitor of apoptosis (IAP) repeat
g.66.1;CCCH zinc finger
g.90.1;E6 C-terminal domain-like
g.91.1;E7 C-terminal domain-like
g.67.1;Zinc finger domain of DNA polymerase-alpha
g.53.1;TAZ domain
g.92.1;T-antigen specific domain-like
g.62.1;Cysteine-rich DNA binding domain, (DM domain)
g.86.1;Coronavirus NSP10-like
g.93.1;Zinc hairpin stack
g.54.1;DnaJ/Hsp40 cysteine-rich domain
g.81.1;HSP33 redox switch-like
g.73.1;CCHHC domain
g.74.1;Sec-C motif
g.87.1;Viral leader polypeptide zinc finger
g.75.1;TSP type-3 repeat
g.82.1;Expressed protein At2g23090/F21P24.15
g.88.1;TSP9-like
h.1.1;Triple coiled coil domain of C-type lectins
h.1.2;Trimerization domain of TRAF
h.1.3;Leucine zipper domain
h.1.4;Inovirus (filamentous phage) major coat protein
h.1.5;Tropomyosin
h.1.6;Chicken cartilage matrix protein
h.1.7;Assembly domain of cartilage oligomeric matrix protein
h.1.8;Fibrinogen coiled-coil and central regions
h.1.9;Coiled-coil domain of nucleotide exchange factor GrpE
h.1.10;Coiled-coil dimerization domain from cortexillin I
h.1.11;XRCC4, C-terminal oligomerization domain
h.1.20;Intermediate filament protein, coiled coil region
h.1.12;Delta-sleep-inducing peptide immunoreactive peptide
h.1.13;Rotavirus nonstructural proteins
h.1.14;Multimerization domain of the phosphoprotein from sendai virus
h.1.15;SNARE fusion complex
h.1.16;Outer membrane lipoprotein
h.1.17;Fibritin
h.1.18;N-terminal coiled coil domain from apc
h.1.19;Tetrabrachion
h.1.21;Eea1 homodimerisation domain
h.1.22;Mitotic arrest deficient-like 1, Mad1
h.1.23;Dimerization motif of sir4
h.1.24;Head morphogenesis protein gp7
h.1.25;Troponin coil-coiled subunits
h.1.26;Myosin rod fragments
h.1.27;G protein-binding domain
h.1.28;Geminin coiled-coil domain
h.1.29;Vasodilator-stimulated phosphoprotein, VASP, tetramerisation domain
h.1.30;MPN010-like
h.1.31;Eferin C-derminal domain-like
h.1.32;Heterotrimerisation domain of extracellular hemoglobin linker subunits
h.1.33;Sec2 N-terminal region
h.1.34;RILP dimerisation region
h.2.1;Tetramerization domain of the Mnt repressor
h.3.1;Influenza hemagglutinin (stalk)
h.3.2;Virus ectodomain
h.3.3;Coronavirus S2 glycoprotein
h.4.1;Variant surface glycoprotein (N-terminal domain)
h.4.2;Clostridium neurotoxins, "coiled-coil" domain
h.4.3;Colicin Ia, N-terminal domain
h.4.9;Colicin E3 receptor domain
h.4.4;Bacterial hemolysins
h.4.5;Methyl-accepting chemotaxis protein (MCP) signaling domain
h.4.6;Oligomerization domain of hepatitis delta antigen
h.4.8;F1 ATPase inhibitor, IF1, C-terminal domain
h.4.11;Chemotaxis phosphatase CheZ
h.4.12;Rad50 coiled-coil Zn hook
h.4.10;C-terminal domain of PLC-beta
h.4.13;Tumor suppressor gene product Apc
h.4.15;Proline/betaine transporter ProP, C-terminal cytoplasmic domain
h.4.16;Fzo-like conserved region
h.4.17;occludin/ELL-like
h.4.18;Gam-like
h.4.19;PspA lactotransferrin-binding region
h.5.1;Apolipoprotein A-I
h.6.1;Apolipoprotein A-II
h.7.1;Synuclein
i.1.1;Ribosome and ribosomal fragments
i.25.1;Collagen fibre
i.26.1;Fatty acid synthase
i.2.1;Helicase
i.3.1;ATP synthase
i.18.1;Membrane ion ATPase
i.13.1;Multidrug resistance ABC transporter
i.4.1;Electron transport chains
i.5.1;Photosystems
i.6.1;Viruses and virus-receptor complexes
i.7.1;Reovirus components
i.17.1;Virus envelope proteins
i.14.1;Bacteriophage HK97 procapsid (prohead II)
i.19.1;Bacteriophage T4 3D cryo-EM reconstruction
i.8.1;RNA polymerase
i.9.1;Blood clotting
i.10.1;Microtubule complexes
i.15.1;Muscle protein complexes
i.20.1;Ep-cadherin
i.21.1;Transferrin receptor-transferrin complex
i.22.1;Signal recognition particle (SRP) complex
i.16.1;GroE chaperon
i.23.1;clathrin assemblies
i.24.1;anthrax toxin protective antigen-receptor complex
i.11.1;Computational models partly based on experimental data
i.12.1;Proteins of incorrect, partial and unknown sequence
j.1.1;Membrane ion channel-forming peptide antibiotics containing D-aminoacids
j.2.1;Lantibiotic peptides
j.106.1;Leucocin-like bacteriocin
j.3.1;Antimicrobial beta-hairpin
j.4.1;Antimicrobial helix
j.5.1;Macrocyclic bacteriocins
j.6.1;Peptide hormones
j.102.1;Angiotensin
j.7.1;delta-Toxin
j.7.2;Antimicrobial peptide HP(2-20)
j.7.3;Anticancer peptides
j.8.1;PSP1-like
j.9.1;30S ribosomal protein THX
j.9.2;HIV-1 REV fragments
j.9.3;RSG-1.2 peptide
j.9.4;TAT peptides
